ID,Title,Singer,Words,Sentiment,Lyrics
11,Blood Red,Slayer,167,negative,Peaceful confrontation meet war machine  Seizing all civil liberties  Honest ballotation among banshee  Spilling blood throughout humanity  You cannot hide the face of death Oppression ruled by bloodshed  No disguise can deface evil The massacre of innocent people  Deviated lies fear blinding in your eyes  Enforcing their truth through a gun  Aggressive discipline and barbaric control  Thousands of people cannot be wrong  You cannot hide the face of death Oppression rules by bloodshed  No disguise can hide the evil That stains the primitive sickle Blood red  Growing opposition with words as ammunition  Expressions of life's liberties  Aggressive discipline and barbaric control  Spilling blood throughout humanity
12,You Oughta Know,Alanis Morissette,329,negative,"I want you to know, that I'm happy for you I wish nothing but the best for you both An older version of me Is she perverted like me Would she go down on you in a theatre Does she speak eloquently And would she have your baby I'm sure she'd make a really excellent mother  Cause the love that you gave that we made wasn't able To make it enough for you to be open wide, no And every time you speak her name Does she know how you told me you'd hold me Until you died, til you died But you're still alive  And I'm here to remind you Of the mess you left when you went away It's not fair to deny me Of the cross I bear that you gave to me You, you, you oughta know  You seem very well, things look peaceful I'm not quite as well, I thought you should know Did you forget about me Mr. Duplicity I hate to bug you in the middle of dinner It was a slap in the face how quickly I was replaced Are you thinking of me when you fuck her  Cause the love that you gave that we made wasn't able To make it enough for you to be open wide, no And every time you speak her name Does she know how you told me you'd hold me Until you died, til you died But you're still alive  And I'm here to remind you Of the mess you left when you went away It's not fair to deny me Of the cross I bear that you gave to me You, you, you oughta know  Cause the joke that you laid on the bed that was me And I'm not gonna fade As soon as you close your eyes and you know it And every time I scratch my nails down someone else's back I hope you feel it...well can you feel it  And I'm here to remind you Of the mess you left when you went away It's not fair to deny me Of the cross I bear that you gave to me You, you, you oughta know And I'm here to remind you Of the mess you left when you went away It's not fair to deny me Of the cross I bear that you gave to me You, you, you oughta know  "
13,Blood Roses,Tori Amos,322,negative,"Blood roses, blood roses Back on the street now  Blood roses, blood roses Back on the street now  Blood roses, blood roses Back on the street now Can't forget the things you never said On days like these, starts me thinking  When chickens get a taste of your meat, girl  And chickens get a taste of your meat, yes  You gave him your blood and your warm little diamond  You gave him your blood and your warm little diamond  You gave him your blood and your warm little diamond  He likes killing you after you're dead  You think I'm a queer, I think you're a queer I think you're a queer  I think you're a queer  I shaved every place where you been, boy  I said, I shaved every place where you been, yes  God knows I know I've thrown away those graces  God knows I've thrown away those graces  God knows I know I've thrown away those graces  The Belle of New Orleans  Tried to show me once how to tango Round and round your feet  Round and round like good little roses  Blood roses, blood roses Back on the street now  Blood roses, blood roses Back on the street now, now, now  Now you've cut out the flute From the throat of the loon At least when you cry now He can't even hear you  When chickens get a taste of your meat, girl  Come on, come on, come on Come on, come on, come on Come on, come on, come on Oh when he sucks you deep, yes  Sometimes you're nothing but meat "
14,Break Stuff,Limp Bizkit,168,negative,"It's just one of those days When ya don't wanna wake up Everything is fucked, everybody sucks You don't really know why But you wanna justify rippin' someone's head off No human contact And if you interact your life is on contract Your best bet is to stay away mother fucker! It's just one of those days!  It's all about the he said she said bullshit I think you better quit lettin' shit slip Or you'll be leavin with a fat lip It's all about the he said she said bullshit I think you better quit talkin' that shit  It's just one of those days Feelin' like a freight train First one to complain Leaves with a blood stain Damn right I'm a maniac You better watch your back Cuz I'm fuckin' up your program And if you're stuck up You just lucked up Next in line to get fucked up Your best bet is to stay away motherfucker! It's just one of those days!  It's all about the he said she said bullshit I think you better quit lettin shit slip Or you'll be leavin with a fat lip It's all about the he said she said bullshit I think you better quit talkin that shit, punk So come and get it  I feel like shit My suggestion is to keep your distance Cuz right now I'm dangerous We've all felt like shit And been treated like shit All those motherfuckers, that want to step up  I hope ya know I pack a chainsaw I'll skin your ass raw And if my day keeps going this way I just might break something tonight  I pack a chainsaw I'll skin your ass raw And if my day keeps going this way I just might break something tonight  I pack a chainsaw I'll skin your ass raw And if my day keeps going this way I just might break your fuckin' face tonight  Give me somthing to break Give me somthing to break Just give me stuff to break How 'bout your fuckin' face?  I hope you know I pack a chainsaw, what? A chainsaw, what? A mutherfuckin' chainsaw, what? So come and get it  It's all about the he said she said bullshit I think you better quit lettin shit slip Or you'll be leavin with a fat lip It's all about the he said she said bullshit I think you better quit talkin that shit Punk, so come and get it "
15,Breaking The Law,Judas Priest,153,negative,"The road was completely wasting Out of working down All inside it's so first rating As I turn in town in town Fill that nobody care Is darling watch out Nothing could begin To put action in my wife  Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law  So much further don't do future I kept it even start How on break promise broken Aching my heart You don't know what is life You don't have a clue If you need you be yourself Do the same thing too  Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law  You don't know what is the life  Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law Breaking the law,Breaking the law  "
16,Breaking Your Own Heart,Kelly Clarkson,232,negative,"Shaking your head like it's all wrong Before you're here you're already gone And even with the light all around you You're all alone in the dark. You're breaking your own heart Taking it too far down the lonely road You say it's just one love But when it's close enough you just let it go The very thing you've been the most afraid of You've been doing it from the start, breaking your own heart.  Too many tears, too many falls It's easy to hear behind these walls But you don't have to walk in the shadows Life is so hard. You're breaking your own heart Taking it too far down the lonely road You say it's just one love But when it's close enough you just let it go The very thing you've been the most afraid of You've been doing it from the start, breaking your own heart.  You're breaking your own heart. It's not too late, I'm still right here. If only you let go of your fears. You're breaking your heart Taking your own heart down the lonely road You say it's just one love But when it's close enough you just let it go The very thing you've been the most afraid of You've been doing it from the start, breaking your own heart.  You're breaking your own heart  "
17,Burn In My Light,Mercy Drive,634,negative,"From the black of decieving lies A new star is born now he brings you to light With his hands untied  They tried so hard to follow, but no-one cared Inside you're all so hollow, you understand  Hey, nothing you can say (say), nothing gonna change what you've done to me Now it's time to shine (shine), I'm gonna take what's mine While you're burning inside my light  I gave and you take And I waited for you but I made a mistake It's clear that you're fear is so near me Because I see the look on you're face  You tried to hold me under, I held my breath Alone and now you wonder, What I posess  Hey, nothing you can say (say), nothing's gonna change what you've done to me Now it's time to shine (shine), you're gonna burn in my light Hey, nothing you can say, nothing's gonna change what you've done to me Now it's time to shine, I'm gonna take what's mine While you're burning inside my light  Hey, (hey) nothing you can say, nothing's gonna change what you've done to me (hey) Now it's time to shine, I'm gonna take what's mine.... take what's mine Hey, (hey) nothing you can say, nothing's gonna change what you've done to me (hey) Now it's time to shine, I'm gonna take what's mine You're gonna burn in my light burn in my light  "
18,Cage The Beast,Adelitas Way,197,negative,I see it in your eyes Your feeling paranoid You know just what I've done You know what I've become I feel it deep inside With all the pain and lies I know just what I want I am an animal  I think it's time I let you go (Why did you send me off ?)  You can't cage the beast ! There's no break in me You can't cage the beast inside of me I feel the rage And all the the pain You can't cage the beast inside of me Inside of me  I feel it in your vine You are a parasite Who knows just what I've done I think your time has come You tried to turn the tide I think you've lost your mind Afraid of what I want This sick animal I've become  I think it's time I let you go (Why did you send me off ?)  You can't cage the beast ! There's no break in me You can't cage the beast inside of me I feel the rage And all the pain You can't cage the beast inside of me Inside of ME !  â¡ å Adelitas Way - Cage The Beast å â¡ â¡ å Home School Valedictorian (2011) å â¡  You can't cage the beast ! There's no break in me You can't cage the beast inside of me I feel the rage And all the pain You can't cage the beast inside of me Inside of me
19,Civil War,Guns N' Roses,466,negative,"""What we've got here is failure to communicate. Some men you just can't reach... So, you get what we had here last week, which is the way he wants it! Well, he gets it! N' I don't like it any more than you men."" * Look at your young men fighting Look at your women crying Look at your young men dying The way they've always done before Look at the hate we're breeding Look at the fear we're feeding Look at the lives we're leading The way we've always done before My hands are tied The billions shift from side to side And the wars go on with brainwashed pride For the love of God and our human rights And all these things are swept aside By bloody hands time can't deny And are washed away by your genocide And history hides the lies of our civil wars D'you wear a black armband When they shot the man Who said ""Peace could last forever"" And in my first memories They shot Kennedy I went numb when I learned to see So I never fell for Vietnam We got the wall of D.C. to remind us all That you can't trust freedom When it's not in your hands When everybody's fightin' For their promised land And I don't need your civil war It feeds the rich while it buries the poor Your power hungry sellin' soldiers In a human grocery store Ain't that fresh I don't need your civil war Look at the shoes your filling Look at the blood we're spilling Look at the world we're killing The way we've always done before Look in the doubt we've wallowed Look at the leaders we've followed Look at the lies we've swallowed And I don't want to hear no more My hands are tied For all I've seen has changed my mind But still the wars go on as the years go by With no love of God or human rights 'Cause all these dreams are swept aside By bloody hands of the hypnotized Who carry the cross of homicide And history bears the scars of our civil wars ""We practice selective annihilation of mayors And government officials For example to create a vacuum Then we fill that vacuum As popular war advances  I don't need your civil war It feeds the rich while it buries the poor Your power hungry sellin' soldiers In a human grocery store Ain't that fresh And I don't need your civil war I don't need your civil war I don't need your civil war Your power hungry sellin' soldiers In a human grocery store Ain't that fresh I don't need your civil war I don't need one more war I don't need one more war Whaz so civil 'bout war anyway "
20,Cleanin Out My Closet,Eminem,303,negative,"Have you ever been hated or discriminated against? I have, I've been protested and demonstrated against. Picket signs for my wicked rhymes. Look at the times. Sick is the mind of the motha fuckin' kid that's behind all this commotion. Emotions run deep as ocean's explodin.' Tempers flaring from parents, just blow 'em off and keep goin.' Not takin' nothin' from no one, give 'em hell long as I'm breathin. Keep kickin' ass in the mornin,' an' takin' names in the evening. Leavem with a taste as sour as vinegar in they mouth. See, they can trigger me but they never figure me out. Look at me now, I bet ya probably sick of me now. Ain't you mama, I'ma make you look so ridiculous now. I'm sorry, Mama. I never meant to hurt you. I never meant to make you cry, but tonight I'm cleanin' out my closet.  one more time  I'm sorry, Mama. I never meant to hurt you. I never meant to make you cry, but tonight I'm cleanin' out my closet.  I got some skeletons in my closet and I don't know if no one knows it. So before they thrown me inside my coffin and close it, I'ma expose it. I'll take you back to 73 before I ever had a multi-platinum sellin' CD. I was a baby, maybe I was just a couple of months. My faggot father must have had his panties up in a bunch, cuz he split. I wonder if he even kissed me goodbye. No, I don't on second thought, I just fuckin' wished he would die. I look at Hailie and I couldn't picture leavin' her side. Even if I hated Kim, I grit my teeth and I'd try to make it work with her at least for Hailie's sake. I maybe made some mistakes but I'm only human. But I'm man enough to face them today. /What I did was stupid, no doubt it was dumb but the smartest shit I did was take them bullets out of that gun. Cuz id'a killed 'em,  shit I would have shot Kim an' him both. It's my life, I'd like to welcome y'all to The Eminem Show. I'm sorry, Mama. I never meant to hurt you. I never meant to make you cry, but tonight I'm cleanin' out my closet.  one more time  I'm sorry, Mama. I never meant to hurt you. I never meant to make you cry, but tonight I'm cleanin' out my closet.  Now I would never dis my own mama just to get recognition. Take a second to listen for you think this record is dissin,'  But put yourself in my position.  ust try to envision witnessin' your Mama poppin' prescription pills in the kitchen, bitchin' that someone's always g oin' throuh her purse and shits missin.' Going through  public housing systems, victim of Munchausen's syndrome. My whole life I was made to believe I was sick when I wasn't 'til I grew up,  now I blew up. It makes you sick to ya stomach, doesn't it? Wasn't it the reason you made that CD for me, Ma? So you could try to justify the way you treated me, Ma? But guess what, yer gettin' older now and it's cold when your lonely. An' Nathan's getting' up so quick, he's gonna know that your phoney. And Hailie's getting' so big now, you should see her, she's beautiful. But you'll never see her, she won't even be at your funeral. See what hurts me the most is you won't admit you was wrong. Bitch, do ya song. Keep tellin' yourself that you was a mom. But how dare you try to take what you didn't help me to get. You selfish bitch, I hope you fuckin' burn in hell for this shit.  Remember when Ronnie died and you said you wished it was me? Well, guess what, I am dead.  Dead to you as can be. I'm sorry, Mama. I never meant to hurt you. I never meant to make you cry, but tonight I'm cleanin' out my closet.  one more time  I'm sorry, Mama. I never meant to hurt you. I never meant to make you cry, but tonight I'm cleanin' out my closet.  "
21,Costume Makes The Clown,Shakira,192,negative,Told you I felt lucky with my humble breasts Well I don't Said that I was sure the world was gonna change Well I'm not Before I didn't give a damn 'bout what they say But I do Promised that I'll never ever lie to you  So you can help Taking the make-up off my face Before I forget my own features  I'm not here to let you down But the costume makes the clown It's just lashing out on me Don't be so hard Don't be so hard on this It's your turn now To cheat on me  Promises I made to you went down the sink Really hope I haven't harmed your self esteem I'm not a virgin but I'm not the whore you think And I don't always smell like strawberries and cream  So you can help Taking the make-up off my face Before I forget who I am now  'Cause I'm not here to let you down But the costume makes the clown It's just lashing out on me Don't be so hard Don't be so hard on this It's your turn now Your turn now...  I'm not here to let you down But the costume makes the clown It's just lashing out on me Don't be so hard Don't be so hard on this It's your turn now Your turn now...  To cheat on me  å¶ä½
22,Creeping Death,Metallica,396,negative,"Slavesï¼Hebrews born to serve, to the pharaoh Heedï¼To his every word, live in fear Faithï¼Of the unknown one, the deliverer Waitï¼Something must be done, four hundred years  So let it be written So let it be done Im sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son Im creeping death  Nowï¼Let my people go, land of goshen Goï¼I will be with thee, bush of fire Bloodï¼Running red and strong, down the Nile Plagueï¼Darkness three days long, hail to fire  So let it be written So let it be done Im sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son Im creeping death  Die by my hand I creep across the land Killing first born man Die by my hand I creep across the land Killing first born man  Rule the midnight air the destroyer Bornï¼I shall soon be there, deadly mass Creep the steps and flood final darkness Bloodï¼Lambs blood painted door, I shall pass  So let it be written So let it be done Im sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son Im creeping death  "
